Overall Rating,Comment,FeedbackCategory,Subcategory
4,We did not have a great experience last year compared to the years before with the receipt of our orders. Hoping the kinks were worked out. I love sending forms home so they can be ordered.,,
5,It went very smoothly and quickly.,,
5,Yahoo!! Our book order came lightning-fast this year! The glitches look like they've been worked out. Kudos!!!,,
1,Can't click on see details becaue content covers,,
4,Having ALOT of difficulty with the new Scholastic Digital Manager site to access my Storyworks3 and Scholastic News3 subscriptions.,,
5,this is our first order and it was so easy to place it and the order goes straight to her teacher which i love.,,
2,"It was confusing while looking for books to know whether I was still connected to the class page, so it would get credit for my purchases. It was NOT until after I had to create a login that I knew I was still connected to the right teacher's site. Also, I don't know why I had to create a login to make a purchase. I won't likely be using the site again.  On a different day, I selected several items, but I couldn't look at the cart to double-check what I'd put in there. As I went from section to section in the catalog, I lost track of which books or games I added to the cart. I gave up and tried again two days later.  The experience that day was so frustrating, I almost said forget about it and not place an order.",,
4,"In the section for selecting books with the additional dollars given for large orders, book titles do not expand once in the selected list. You must re-search the titles to have a title to click on and have the summary and book cover pop up.",,
5,"Why wouldn't it let me put early early childhood at the beginning when it ask the child""s grade..I had to put preschool when he is only two.",,
3,"I get the bundles, but I should be able to purchase the single book if the bundle already has several of the books we already have.",,
4,I could not find a way to find books by reviews. Having that sorting option would have been good to have.,,
3,"I couldn't find out how to use points and get classroom books.  I'll try again in the future.  it  is my first time as director for our preschool, going online to approve orders.   I didn't think it was all that helpful.",,
